PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.08198534,0.52298970,0.00291684,359.32660000,179.78240000,-0.00109983,0
0.08198531,0.52298960,0.00291789,359.32620000,179.78240000,-0.00111910,29
0.08198541,0.52298950,0.00291867,359.32600000,179.78240000,-0.00110298,41
0.08198540,0.52298960,0.00291907,359.32590000,179.78230000,-0.00110326,55
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,71
0.08198538,0.52298960,0.00292030,359.32530000,179.78310000,-0.00110930,82
0.08198538,0.52298940,0.00292127,359.32470000,179.78370000,-0.00113238,99
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,114
0.08198527,0.52298950,0.00292261,359.32390000,179.78460000,-0.00113787,126
0.08198521,0.52298950,0.00292367,359.32310000,179.78520000,-0.00117944,140
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,152
0.08198513,0.52298940,0.00292443,359.32250000,179.78580000,-0.00120631,163
0.08198526,0.52298960,0.00292479,359.32210000,179.78630000,-0.00119719,176
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,188
0.08198519,0.52298960,0.00292473,359.32190000,179.78660000,-0.00118998,199
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,212
0.08198521,0.52298960,0.00292437,359.32180000,179.78680000,-0.00118201,223
0.08198525,0.52298960,0.00292375,359.32180000,179.78700000,-0.00120040,236
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,249
0.08198518,0.52298950,0.00292298,359.32180000,179.78720000,-0.00120818,261
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,273
0.08198523,0.52298950,0.00292204,359.32190000,179.78740000,-0.00119544,283
0.08198525,0.52298950,0.00292097,359.32210000,179.78750000,-0.00119552,295
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,307
0.08198526,0.52298950,0.00291986,359.32230000,179.78770000,-0.00119892,316
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,328
0.08198532,0.52298940,0.00291869,359.32240000,179.78790000,-0.00120957,338
0.24552420,0.41141810,0.00513224,354.03130000,185.08270000,12.14147000,350
0.08198532,0.52298940,0.00291751,359.32260000,179.78810000,-0.00120289,360
