PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.00000000,0.17300020,0.00000000,0.00000004,359.68880000,0.00000000,0
0.00000000,0.17300020,0.00000000,0.00000004,359.68840000,0.00000000,29
0.00000000,0.17300020,0.00000000,0.00000004,359.68830000,0.00000000,41
0.00000000,0.17300020,0.00000000,0.00000004,359.68830000,0.00000000,55
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,71
0.00000000,0.17300020,0.00000000,0.00000004,359.68810000,0.00000000,82
0.00000000,0.17300010,0.00000000,0.00000004,359.68770000,0.00000000,99
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,114
0.00000000,0.17300010,0.00000000,0.00000004,359.68720000,0.00000000,126
0.00000000,0.17300010,0.00000000,0.00000004,359.68680000,0.00000000,140
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,152
0.00000000,0.17300010,0.00000000,0.00000004,359.68630000,0.00000000,163
0.00000000,0.17300020,0.00000000,0.00000004,359.68610000,0.00000000,176
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,188
0.00000000,0.17300020,0.00000000,0.00000004,359.68590000,0.00000000,199
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,212
0.00000000,0.17300020,0.00000000,0.00000004,359.68580000,0.00000000,223
0.00000000,0.17300020,0.00000000,0.00000004,359.68570000,0.00000000,236
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,249
0.00000000,0.17300020,0.00000000,0.00000004,359.68570000,0.00000000,261
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,273
0.00000000,0.17300010,0.00000000,0.00000004,359.68580000,0.00000000,283
0.00000000,0.17300010,0.00000000,0.00000004,359.68590000,0.00000000,295
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,307
0.00000000,0.17300010,0.00000000,0.00000004,359.68600000,0.00000000,316
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,328
0.00000000,0.17300020,0.00000000,0.00000004,359.68620000,0.00000000,338
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,350
0.00000000,0.17300020,0.00000000,0.00000004,359.68630000,0.00000000,360
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,371
0.00000000,0.17300010,0.00000000,0.00000004,359.68640000,0.00000000,381
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,392
0.00000000,0.17300010,0.00000000,0.00000004,359.68650000,0.00000000,403
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,414
0.00000000,0.17300020,0.00000000,0.00000004,359.68650000,0.00000000,425
0.00000000,0.17300010,0.00000000,0.00000004,359.68660000,0.00000000,437
0.00000000,0.17300010,0.00000000,0.00000004,359.68710000,0.00000000,455
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,467
0.00000000,0.17300010,0.00000000,0.00000004,359.68770000,0.00000000,476
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,488
0.00000000,0.17300020,0.00000000,0.00000004,359.68830000,0.00000000,497
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,509
0.00000000,0.17300020,0.00000000,0.00000004,359.68890000,0.00000000,519
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,530
0.00000000,0.17300010,0.00000000,0.00000004,359.68960000,0.00000000,540
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,553
0.00000000,0.17300020,0.00000000,0.00000004,359.69030000,0.00000000,563
0.00000000,0.17300010,0.00000000,0.00000004,359.69090000,0.00000000,576
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,588
0.00000000,0.17300010,0.00000000,0.00000004,359.69130000,0.00000000,598
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,610
0.00000000,0.17300010,0.00000000,0.00000004,359.69130000,0.00000000,620
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,633
0.00000000,0.17300010,0.00000000,0.00000004,359.69130000,0.00000000,643
0.00000000,0.17300010,0.00000000,0.00000004,359.69140000,0.00000000,655
0.00000000,0.17300000,0.00000000,0.03480703,69.25420000,359.93820000,667
