PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
-0.00000216,0.30934970,0.00039310,270.46650000,359.68920000,269.99960000,0
-0.00000217,0.30934960,0.00039288,270.46520000,359.68740000,270.00060000,29
-0.00000214,0.30934960,0.00039292,270.46520000,359.68850000,269.99980000,41
-0.00000214,0.30934960,0.00039294,270.46560000,359.68900000,269.99940000,55
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,71
-0.00000213,0.30934970,0.00039291,270.46560000,359.68790000,269.99980000,82
-0.00000214,0.30934960,0.00039257,270.46560000,359.68870000,269.99900000,99
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,114
-0.00000219,0.30934960,0.00039208,270.46650000,359.68650000,270.00060000,126
-0.00000219,0.30934960,0.00039155,270.46650000,359.68580000,270.00100000,140
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,152
-0.00000219,0.30934960,0.00039100,270.46480000,359.68470000,270.00190000,163
-0.00000213,0.30934970,0.00039063,270.46480000,359.68620000,269.99980000,176
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,188
-0.00000218,0.30934970,0.00039027,270.46560000,359.68590000,269.99980000,199
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,212
-0.00000217,0.30934970,0.00038993,270.46440000,359.68640000,269.99940000,223
-0.00000215,0.30934970,0.00038962,270.46480000,359.68720000,269.99870000,236
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,249
-0.00000217,0.30934970,0.00038936,270.46390000,359.68490000,270.00060000,261
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,273
-0.00000217,0.30934960,0.00038902,270.46390000,359.68710000,269.99870000,283
-0.00000215,0.30934960,0.00038882,270.46480000,359.68590000,270.00000000,295
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,307
-0.00000214,0.30934960,0.00038860,270.46310000,359.68710000,269.99900000,316
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,328
-0.00000213,0.30934960,0.00038834,270.46440000,359.68690000,269.99910000,338
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,350
-0.00000213,0.30934970,0.00038817,270.46480000,359.68590000,270.00040000,360
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,371
-0.00000214,0.30934960,0.00038785,270.46350000,359.68660000,269.99980000,381
0.10409740,0.25178750,0.03933944,325.21550000,69.29713000,269.92480000,392
