PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.08599880,0.17300020,0.00046715,270.16550000,359.69020000,269.99880000,0
0.08599877,0.17300020,0.00046767,270.16780000,359.68770000,270.00060000,29
0.08599878,0.17300020,0.00046786,270.16310000,359.68950000,269.99850000,41
0.08599878,0.17300020,0.00046793,270.16310000,359.68950000,269.99820000,55
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,71
0.08599877,0.17300020,0.00046819,270.16190000,359.68770000,270.00060000,82
0.08599878,0.17300010,0.00046878,270.16310000,359.68980000,269.99820000,99
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,114
0.08599876,0.17300010,0.00046946,270.16430000,359.68760000,269.99970000,126
0.08599877,0.17300010,0.00047016,270.16190000,359.68540000,270.00090000,140
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,152
0.08599875,0.17300010,0.00047080,270.16550000,359.68500000,270.00180000,163
0.08599877,0.17300020,0.00047124,270.16190000,359.68830000,269.99820000,176
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,188
0.08599877,0.17300020,0.00047150,270.16190000,359.68560000,270.00060000,199
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,212
0.08599875,0.17300020,0.00047168,270.16310000,359.68830000,269.99760000,223
0.08599874,0.17300010,0.00047172,270.16310000,359.68930000,269.99640000,236
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,249
0.08599874,0.17300020,0.00047172,270.15950000,359.68240000,270.00300000,261
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,273
0.08599874,0.17300010,0.00047167,270.16310000,359.68880000,269.99700000,283
0.08599877,0.17300020,0.00047149,270.16430000,359.68860000,269.99700000,295
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,307
0.08599875,0.17300010,0.00047126,270.16310000,359.68670000,269.99910000,316
0.03046309,0.17290730,-0.08042388,324.70180000,69.29796000,269.92430000,328
0.08599874,0.17300010,0.00047110,270.16070000,359.68770000,269.99790000,338
