PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.13698510,0.52299110,0.00312567,359.37560000,179.78240000,89.99909000,0
0.13698510,0.52299090,0.00312676,359.37550000,179.78240000,89.99909000,29
0.13698530,0.52299090,0.00312757,359.37540000,179.78240000,89.99911000,41
0.13698520,0.52299090,0.00312802,359.37530000,179.78240000,89.99912000,55
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,71
0.13698520,0.52299090,0.00312846,359.37530000,179.78310000,89.99911000,82
0.13698520,0.52299070,0.00312892,359.37520000,179.78370000,89.99908000,99
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,114
0.13698510,0.52299080,0.00312936,359.37530000,179.78460000,89.99908000,126
0.13698510,0.52299090,0.00312974,359.37530000,179.78520000,89.99905000,140
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,152
0.13698500,0.52299090,0.00312998,359.37540000,179.78580000,89.99902000,163
0.13698510,0.52299100,0.00312992,359.37550000,179.78630000,89.99902000,176
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,188
0.13698510,0.52299090,0.00312955,359.37560000,179.78660000,89.99903000,199
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,212
0.13698510,0.52299090,0.00312898,359.37570000,179.78680000,89.99904000,223
0.13698510,0.52299090,0.00312818,359.37590000,179.78700000,89.99902000,236
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,249
0.13698500,0.52299090,0.00312722,359.37610000,179.78720000,89.99903000,261
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,273
0.13698510,0.52299080,0.00312611,359.37630000,179.78740000,89.99901000,283
0.13698510,0.52299090,0.00312490,359.37650000,179.78750000,89.99902000,295
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,307
0.13698510,0.52299100,0.00312359,359.37670000,179.78770000,89.99902000,316
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,328
0.13698520,0.52299080,0.00312222,359.37700000,179.78790000,89.99902000,338
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,350
0.13698520,0.52299080,0.00312087,359.37720000,179.78810000,89.99900000,360
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,371
0.13698520,0.52299090,0.00311944,359.37740000,179.78880000,89.99902000,381
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,392
0.13698520,0.52299090,0.00311817,359.37770000,179.78940000,89.99899000,403
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,414
0.13698510,0.52299090,0.00311681,359.37790000,179.78990000,89.99899000,425
0.13698520,0.52299070,0.00311534,359.37810000,179.78970000,89.99902000,437
0.13698530,0.52299080,0.00311345,359.37840000,179.78930000,89.99902000,455
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,467
0.13698520,0.52299090,0.00311150,359.37860000,179.78900000,89.99902000,476
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,488
0.13698530,0.52299090,0.00310945,359.37880000,179.78850000,89.99904000,497
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,509
0.13698530,0.52299090,0.00310739,359.37910000,179.78790000,89.99905000,519
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,530
0.13698540,0.52299090,0.00310522,359.37930000,179.78740000,89.99905000,540
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,553
0.13698550,0.52299100,0.00310330,359.37950000,179.78680000,89.99908000,563
0.13698550,0.52299080,0.00310153,359.37970000,179.78650000,89.99910000,576
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,588
0.13698550,0.52299090,0.00310025,359.37980000,179.78720000,89.99909000,598
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,610
0.13698550,0.52299090,0.00309934,359.38000000,179.78770000,89.99909000,620
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,633
0.13698560,0.52299090,0.00309870,359.38010000,179.78820000,89.99908000,643
0.13698550,0.52299110,0.00309814,359.38020000,179.78820000,89.99908000,655
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,667
0.13698550,0.52299110,0.00309753,359.38020000,179.78830000,89.99909000,678
0.29897630,0.39991310,-0.00082956,354.03130000,185.08270000,102.14170000,691
