PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.08199137,0.42884590,0.00181029,359.32660000,179.68880000,90.00000000,0
0.08199133,0.42884580,0.00181072,359.32620000,179.68850000,89.99999000,29
0.08199140,0.42884580,0.00181118,359.32600000,179.68830000,90.00000000,41
0.08199139,0.42884580,0.00181142,359.32590000,179.68830000,90.00001000,55
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,71
0.08199141,0.42884590,0.00181161,359.32530000,179.68810000,90.00001000,82
0.08199139,0.42884580,0.00181163,359.32470000,179.68770000,89.99999000,99
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,114
0.08199131,0.42884580,0.00181154,359.32380000,179.68720000,90.00000000,126
0.08199129,0.42884580,0.00181140,359.32310000,179.68680000,89.99999000,140
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,152
0.08199123,0.42884580,0.00181118,359.32250000,179.68630000,89.99999000,163
0.08199136,0.42884590,0.00181088,359.32210000,179.68610000,90.00000000,176
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,188
0.08199130,0.42884590,0.00181044,359.32190000,179.68590000,90.00000000,199
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,212
0.08199129,0.42884590,0.00180990,359.32180000,179.68580000,90.00000000,223
0.08199134,0.42884590,0.00180928,359.32180000,179.68570000,90.00000000,236
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,249
0.08199129,0.42884590,0.00180863,359.32180000,179.68570000,89.99999000,261
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,273
0.08199132,0.42884580,0.00180784,359.32190000,179.68580000,90.00000000,283
0.08199134,0.42884590,0.00180707,359.32210000,179.68590000,90.00001000,295
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,307
0.08199132,0.42884590,0.00180622,359.32230000,179.68600000,90.00000000,316
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,328
0.08199139,0.42884580,0.00180532,359.32240000,179.68610000,90.00000000,338
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,350
0.08199138,0.42884580,0.00180450,359.32260000,179.68630000,90.00000000,360
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,371
0.08199137,0.42884590,0.00180354,359.32250000,179.68640000,90.00002000,381
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,392
0.08199138,0.42884580,0.00180263,359.32240000,179.68640000,90.00000000,403
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,414
0.08199134,0.42884580,0.00180161,359.32230000,179.68650000,90.00000000,425
0.08199134,0.42884560,0.00180064,359.32270000,179.68660000,90.00000000,437
0.08199144,0.42884580,0.00179962,359.32350000,179.68710000,90.00001000,455
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,467
0.08199144,0.42884580,0.00179874,359.32430000,179.68770000,90.00000000,476
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,488
0.08199142,0.42884580,0.00179773,359.32520000,179.68830000,90.00000000,497
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,509
0.08199147,0.42884580,0.00179676,359.32630000,179.68890000,90.00000000,519
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,530
0.08199149,0.42884580,0.00179583,359.32730000,179.68960000,90.00001000,540
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,553
0.08199150,0.42884590,0.00179505,359.32830000,179.69030000,90.00000000,563
0.08199155,0.42884570,0.00179428,359.32910000,179.69090000,90.00001000,576
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,588
0.08199155,0.42884580,0.00179361,359.32910000,179.69120000,90.00000000,598
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,610
0.08199155,0.42884580,0.00179301,359.32900000,179.69130000,90.00001000,620
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,633
0.08199160,0.42884580,0.00179249,359.32880000,179.69130000,90.00000000,643
0.08199155,0.42884590,0.00179208,359.32890000,179.69140000,90.00001000,655
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,667
0.08199155,0.42884590,0.00179176,359.32900000,179.69160000,90.00002000,678
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,691
0.08199158,0.42884580,0.00179150,359.32930000,179.69180000,90.00000000,701
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,714
0.08199158,0.42884580,0.00179132,359.32960000,179.69220000,90.00001000,725
0.08199169,0.42884590,0.00179115,359.32990000,179.69240000,90.00002000,736
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,747
0.08199167,0.42884590,0.00179107,359.33010000,179.69260000,90.00002000,757
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,767
0.08199162,0.42884590,0.00179096,359.33040000,179.69270000,90.00000000,776
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,788
0.08199161,0.42884590,0.00179104,359.33070000,179.69290000,90.00000000,798
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,810
0.08199164,0.42884590,0.00179116,359.33100000,179.69300000,90.00001000,828
0.08199164,0.42884580,0.00179134,359.33130000,179.69320000,90.00001000,839
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,851
0.08199163,0.42884580,0.00179161,359.33080000,179.69310000,90.00000000,861
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,872
0.08199163,0.42884590,0.00179189,359.33070000,179.69290000,89.99999000,883
0.08199162,0.42884590,0.00179226,359.33060000,179.69280000,90.00001000,896
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,906
0.08199158,0.42884590,0.00179267,359.32980000,179.69260000,90.00001000,916
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,928
0.08199163,0.42884580,0.00179314,359.32950000,179.69220000,90.00002000,938
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,949
0.08199161,0.42884580,0.00179368,359.32940000,179.69200000,90.00001000,959
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,971
0.08199161,0.42884580,0.00179416,359.32950000,179.69200000,90.00000000,981
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,993
0.08199162,0.42884580,0.00179473,359.32970000,179.69200000,90.00000000,1003
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1014
0.08199152,0.42884580,0.00179515,359.32980000,179.69200000,90.00002000,1023
0.08199152,0.42884590,0.00179565,359.32980000,179.69190000,90.00000000,1035
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1047
0.08199158,0.42884570,0.00179634,359.32980000,179.69180000,89.99999000,1057
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1070
0.08199152,0.42884590,0.00179683,359.32980000,179.69170000,90.00000000,1078
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1091
0.08199150,0.42884590,0.00179749,359.32970000,179.69160000,89.99999000,1101
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1113
0.08199151,0.42884590,0.00179810,359.32970000,179.69150000,90.00000000,1123
0.08199152,0.42884580,0.00179874,359.32950000,179.69140000,89.99999000,1135
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1147
0.08199145,0.42884590,0.00179933,359.32960000,179.69130000,89.99999000,1156
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1167
0.08199143,0.42884580,0.00179991,359.32960000,179.69130000,89.99999000,1176
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1188
0.08199146,0.42884580,0.00180049,359.32890000,179.69110000,89.99999000,1197
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1209
0.08199142,0.42884590,0.00180103,359.32820000,179.69060000,89.99998000,1219
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1230
0.08199144,0.42884590,0.00180149,359.32760000,179.69020000,90.00000000,1239
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1251
0.08199142,0.42884580,0.00180203,359.32710000,179.68980000,90.00000000,1261
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1272
0.08199143,0.42884580,0.00180251,359.32670000,179.68950000,90.00000000,1282
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1294
0.08199144,0.42884570,0.00180288,359.32640000,179.68930000,89.99999000,1304
0.08199146,0.42884580,0.00180323,359.32640000,179.68910000,90.00000000,1315
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1327
0.08199146,0.42884590,0.00180346,359.32600000,179.68890000,90.00000000,1337
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1349
0.08199140,0.42884590,0.00180368,359.32550000,179.68860000,89.99999000,1358
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1371
0.08199137,0.42884590,0.00180381,359.32510000,179.68820000,90.00000000,1380
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1392
0.08199143,0.42884580,0.00180395,359.32470000,179.68790000,90.00000000,1402
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1413
0.08199135,0.42884580,0.00180399,359.32410000,179.68760000,90.00000000,1423
0.08199136,0.42884590,0.00180410,359.32350000,179.68720000,90.00000000,1436
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1447
0.08199135,0.42884570,0.00180395,359.32280000,179.68680000,90.00000000,1457
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1469
0.08199133,0.42884580,0.00180373,359.32220000,179.68640000,90.00000000,1479
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1491
0.08199137,0.42884570,0.00180354,359.32150000,179.68600000,90.00001000,1500
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1512
0.08199129,0.42884590,0.00180325,359.32100000,179.68570000,90.00000000,1522
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1533
0.08199134,0.42884570,0.00180284,359.32120000,179.68550000,90.00000000,1543
0.22495180,0.31987290,-0.00264707,346.49050000,249.23830000,90.01118000,1554
0.08199137,0.42884590,0.00180243,359.32110000,179.68560000,90.00000000,1564
